calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url
440,1.0,"Dinner, Lunch, Starter, Supper",41.0,"{'@type': 'NutritionInformation', 'calories': '440 calories', 'fatContent': '41 grams fat', 'saturatedFatContent': '17 grams saturated fat', 'carbohydrateContent': '1 grams carbohydrates', 'fiberContent': '2 grams fiber', 'proteinContent': '16 grams protein', 'sodiumContent': '2.26 milligram of sodium'}",16.0,0.1,0.1,bbcgoodfood,Easy smoked mackerel pâté,https://www.bbcgoodfood.com/recipes/smoked-mackerel-pate-french-bread-horseradish
645,29.0,"Buffet, Dinner, Lunch, Main course, Side dish, Snack, Starter, Supper",49.0,"{'@type': 'NutritionInformation', 'calories': '645 calories', 'fatContent': '49 grams fat', 'saturatedFatContent': '3 grams saturated fat', 'carbohydrateContent': '29 grams carbohydrates', 'sugarContent': '11 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '24 grams protein', 'sodiumContent': '2.37 milligram of sodium'}",24.0,0.1,0.1,bbcgoodfood,Warm mackerel & beetroot salad,https://www.bbcgoodfood.com/recipes/warm-mackerel-beetroot-salad
824,27.0,Starter,62.0,"{'@type': 'NutritionInformation', 'calories': '824 calories', 'fatContent': '62 grams fat', 'saturatedFatContent': '24 grams saturated fat', 'carbohydrateContent': '27 grams carbohydrates', 'sugarContent': '15 grams sugar', 'fiberContent': '5 grams fiber', 'proteinContent': '40 grams protein', 'sodiumContent': '3.98 milligram of sodium'}",40.0,0.1,0.1,bbcgoodfood,Pan-fried scallops with butternut squash two ways,https://www.bbcgoodfood.com/recipes/pan-fried-scallops-butternut-squash-two-ways
406,3.0,"Dinner, Lunch, Main course, Starter, Supper",31.0,"{'@type': 'NutritionInformation', 'calories': '406 calories', 'fatContent': '31 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '3 grams carbohydrates', 'sugarContent': '2 grams sugar', 'proteinContent': '29 grams protein', 'sodiumContent': '0.49 milligram of sodium'}",29.0,0.1,0.1,bbcgoodfood,BBQ mackerel,https://www.bbcgoodfood.com/recipes/barbecued-mackerel-ginger-chilli-lime-drizzle
132,8.0,"Buffet, Canapes, Starter",9.0,"{'@type': 'NutritionInformation', 'calories': '132 calories', 'fatContent': '9 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '8 grams carbohydrates', 'fiberContent': '1 grams fiber', 'proteinContent': '3 grams protein', 'sodiumContent': '0.8 milligram of sodium'}",3.0,0.1,0.1,bbcgoodfood,Potato cakes with smoked salmon & cream cheese,https://www.bbcgoodfood.com/recipes/potato-cakes-smoked-salmon-cream-cheese
179,11.0,"Afternoon tea, Buffet, Canapes, Snack",12.0,"{'@type': 'NutritionInformation', 'calories': '179 calories', 'fatContent': '12 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '11 grams carbohydrates', 'proteinContent': '6 grams protein', 'sodiumContent': '0.8 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Smoked salmon & poppy seed palmiers,https://www.bbcgoodfood.com/recipes/smoked-salmon-poppy-seed-palmiers
564,16.0,Breakfast,44.0,"{'@type': 'NutritionInformation', 'calories': '564 calories', 'fatContent': '44 grams fat', 'saturatedFatContent': '23 grams saturated fat', 'carbohydrateContent': '16 grams carbohydrates', 'sugarContent': '1 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '27 grams protein', 'sodiumContent': '3.1 milligram of sodium'}",27.0,0.1,0.1,bbcgoodfood,Eggs benedict with smoked salmon & chives,https://www.bbcgoodfood.com/recipes/eggs-benedict-smoked-salmon-chives
339,3.0,Starter,26.0,"{'@type': 'NutritionInformation', 'calories': '339 calories', 'fatContent': '26 grams fat', 'saturatedFatContent': '13 grams saturated fat', 'carbohydrateContent': '3 grams carbohydrates', 'sugarContent': '3 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '17 grams protein', 'sodiumContent': '0.8 milligram of sodium'}",17.0,0.1,0.1,bbcgoodfood,Fresh & smoked salmon rillettes,https://www.bbcgoodfood.com/recipes/fresh-smoked-salmon-rillettes
266,4.0,"Dinner, Starter",17.0,"{'@type': 'NutritionInformation', 'calories': '266 calories', 'fatContent': '17 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '4 grams carbohydrates', 'sugarContent': '3 grams sugar', 'proteinContent': '25 grams protein', 'sodiumContent': '3.34 milligram of sodium'}",25.0,0.1,0.1,bbcgoodfood,"Smoked salmon with prawns, horseradish cream & lime vinaigrette",https://www.bbcgoodfood.com/recipes/smoked-salmon-prawns-horseradish-cream-lime-vinaigrette
617,30.0,"Breakfast, Brunch",39.0,"{'@type': 'NutritionInformation', 'calories': '617 calories', 'fatContent': '39 grams fat', 'saturatedFatContent': '16 grams saturated fat', 'carbohydrateContent': '30 grams carbohydrates', 'sugarContent': '5 grams sugar', 'fiberContent': '5 grams fiber', 'proteinContent': '33 grams protein', 'sodiumContent': '26 milligram of sodium'}",33.0,0.1,0.1,bbcgoodfood,Bloody mary scrambled eggs & smoked salmon,https://www.bbcgoodfood.com/recipes/bloody-mary-scrambled-eggs-smoked-salmon
